"ENTITY","CODE","YEAR","DEATHS_PER_100K","HIGHER_LVL_CAT","AGE_GROUP","ABS_DEATHS","TOTAL_ABS_DEATHS","DEATHS_PER_100K_BD"
"Andean Latin America",NA,1990,0.353559920034,"Regional","Under 5",43.8934068797,133.12324406286,0.116575805642767
"Andean Latin America",NA,1990,0.353559920034,"Regional","70 or older",8.51236185166,133.12324406286,0.0226078473129174
"Andean Latin America",NA,1990,0.353559920034,"Regional","5-14",26.3993712307,133.12324406286,0.0701136728373809
"Andean Latin America",NA,1990,0.353559920034,"Regional","15-49",40.8599715106,133.12324406286,0.108519352586222
"Andean Latin America",NA,1990,0.353559920034,"Regional","50-69",13.4581325902,133.12324406286,0.0357432416547125
"Andean Latin America",NA,1991,0.34977193168,"Regional","Under 5",42.7826750283,133.55060514435,0.112048753885555
"Andean Latin America",NA,1991,0.34977193168,"Regional","70 or older",8.82739506145,133.55060514435,0.0231191391383709
"Andean Latin America",NA,1991,0.34977193168,"Regional","5-14",26.4903622778,133.55060514435,0.0693788334002252
"Andean Latin America",NA,1991,0.34977193168,"Regional","15-49",41.7146950905,133.55060514435,0.109251691263218
"Andean Latin America",NA,1991,0.34977193168,"Regional","50-69",13.7354776863,133.55060514435,0.0359735139926316
"Andean Latin America",NA,1992,0.343962585664,"Regional","Under 5",41.2626941032,132.99208637159,0.106719304452022
"Andean Latin America",NA,1992,0.343962585664,"Regional","70 or older",9.11587160529,132.99208637159,0.0235767319205423
"Andean Latin America",NA,1992,0.343962585664,"Regional","5-14",26.0170539245,132.99208637159,0.0672889145766678
"Andean Latin America",NA,1992,0.343962585664,"Regional","15-49",42.5556814283,132.99208637159,0.110063407666777
"Andean Latin America",NA,1992,0.343962585664,"Regional","50-69",14.0407853103,132.99208637159,0.0363142270479906
"Andean Latin America",NA,1993,0.336221177056,"Regional","Under 5",39.9774486801,131.83293467807,0.10195680528346
"Andean Latin America",NA,1993,0.336221177056,"Regional","70 or older",9.40795746557,131.83293467807,0.023993659403024
"Andean Latin America",NA,1993,0.336221177056,"Regional","5-14",25.3427704259,131.83293467807,0.0646331368050285
"Andean Latin America",NA,1993,0.336221177056,"Regional","15-49",42.802689138,131.83293467807,0.109162179832248
"Andean Latin America",NA,1993,0.336221177056,"Regional","50-69",14.3020689685,131.83293467807,0.0364753957322401
"Andean Latin America",NA,1994,0.31588301113,"Regional","Under 5",35.9837900906,124.85855333668,0.0910363580381911
"Andean Latin America",NA,1994,0.31588301113,"Regional","70 or older",9.43179066948,124.85855333668,0.0238617408051286
"Andean Latin America",NA,1994,0.31588301113,"Regional","5-14",23.6033171698,124.85855333668,0.0597146667248989
"Andean Latin America",NA,1994,0.31588301113,"Regional","15-49",41.656239351,124.85855333668,0.105387239935931
"Andean Latin America",NA,1994,0.31588301113,"Regional","50-69",14.1834160558,124.85855333668,0.0358830056258509
"Andean Latin America",NA,1995,0.296841632952,"Regional","Under 5",32.8380283145,118.47218640023,0.0822783325266737
"Andean Latin America",NA,1995,0.296841632952,"Regional","70 or older",9.44154322693,118.47218640023,0.0236565492224541
"Andean Latin America",NA,1995,0.296841632952,"Regional","5-14",21.8325548964,118.47218640023,0.0547032298793549
"Andean Latin America",NA,1995,0.296841632952,"Regional","15-49",40.3528441838,118.47218640023,0.101107310717729
"Andean Latin America",NA,1995,0.296841632952,"Regional","50-69",14.0072157786,118.47218640023,0.035096210605788
"Andean Latin America",NA,1996,0.276171947455,"Regional","Under 5",29.7694347675,111.51471126768,0.0737255441987399
"Andean Latin America",NA,1996,0.276171947455,"Regional","70 or older",9.27173341448,111.51471126768,0.0229619271238042
"Andean Latin America",NA,1996,0.276171947455,"Regional","5-14",20.2585041866,111.51471126768,0.0501712329264679
"Andean Latin America",NA,1996,0.276171947455,"Regional","15-49",38.5974219572,111.51471126768,0.0955885108564301
"Andean Latin America",NA,1996,0.276171947455,"Regional","50-69",13.6176169419,111.51471126768,0.0337247323495578
"Andean Latin America",NA,1997,0.252839327063,"Regional","Under 5",26.6672214062,103.25208969551,0.0653015579139106
"Andean Latin America",NA,1997,0.252839327063,"Regional","70 or older",8.97555553191,103.25208969551,0.0219789587542207
"Andean Latin America",NA,1997,0.252839327063,"Regional","5-14",18.473985651,103.25208969551,0.0452383105653839
"Andean Latin America",NA,1997,0.252839327063,"Regional","15-49",36.1123563923,103.25208969551,0.0884304028694677
"Andean Latin America",NA,1997,0.252839327063,"Regional","50-69",13.0229707141,103.25208969551,0.0318900969600171
"Andean Latin America",NA,1998,0.234816524774,"Regional","Under 5",25.065432776,97.65353311785,0.0602720416609359
